title,imgUrl,price,categoryName
Pulverizador de tinta Máquina de pulverização sem ar de alta pressão profissional Ferramenta de pintura elétrica de alta potência,https://m.media-amazon.com/images/I/71G0KTqqktL._AC_UY218_.jpg,4816.61,Acessórios de Ferramentas Elétricas
WENZI Bússola para carpintaria Riscador Paralelo/Vertical Ferramenta de Risque Liga de Alumínio Círculo Desenho Régua Medidor de Marcação para Carpinteiro,https://m.media-amazon.com/images/I/51L8-ebxnkL._AC_UY218_.jpg,130.58,Acessórios de Ferramentas Elétricas
Adaptador Furo Quadrado - Suporte para brocas manuais em aço inoxidável - Suprimentos para máquinas furação rápidas e precisas para furadeiras bancada e acessórios para Pinnkl,https://m.media-amazon.com/images/I/61nTW-2IHfL._AC_UY218_.jpg,190.59,Acessórios de Ferramentas Elétricas
Moniss Prensa de furadeira de bancada suporte de fixação quadro de base para furadeiras elétricas ferramenta faça você mesmo para furadeira manual suporte para ferramentas elétricas acessórios,https://m.media-amazon.com/images/I/61G12xsNkHL._AC_UY218_.jpg,244.99,Acessórios de Ferramentas Elétricas
Induzido 220v P/Serra Mármore Skil 9815 Antiga Original,https://m.media-amazon.com/images/I/41tarY5093L._AC_UY218_.jpg,176.2,Acessórios de Ferramentas Elétricas
"Vonder, Lâmina Para Serra Sabre, Metal, Com 2 Peças.",https://m.media-amazon.com/images/I/41ZKERkBBDL._AC_UY218_.jpg,45.26,Acessórios de Ferramentas Elétricas
"Alicate de aperto de mangueira, operação fácil Vários tamanhos Braçadeira de freio de combustível Punho ergonômico 3 peças para oficina",https://m.media-amazon.com/images/I/61bMShFnbiL._AC_UY218_.jpg,94.69,Acessórios de Ferramentas Elétricas
Honda 24614-ZY9-000 pivô de mudança de placa,https://m.media-amazon.com/images/I/61MHoMX+ETL._AC_UY218_.jpg,0.0,Acessórios de Ferramentas Elétricas
"Coletor de poeira de furadeira elétrica, coletor removível de perfuração a vácuo para fábricas para locais de construção para casa",https://m.media-amazon.com/images/I/51S-niYZZnL._AC_UY218_.jpg,0.0,Acessórios de Ferramentas Elétricas
mingzhe Furadeira elétrica modificada para acessório de ferramenta de motosserra elétrica Acessório de motosserra elétrica Conjunto de ferramentas de modificação prática Sem correntes de placa guia,https://m.media-amazon.com/images/I/51wx1eV3d7L._AC_UY218_.jpg,111.79,Acessórios de Ferramentas Elétricas
"Moniss Afiador de brocas de 2-12,5 mm Moedor portátil de brocas Roda de corindo Ferramenta de moagem para polimento de brocas Ferramenta de afiação de brocas manuais Peças de ferramentas elétricas",https://m.media-amazon.com/images/I/61vvONhzSiL._AC_UY218_.jpg,57.19,Acessórios de Ferramentas Elétricas
Ponta reta niquelada Weller MT1 para SP25 WELMT1,https://m.media-amazon.com/images/I/61hDQTkyQlL._AC_UY218_.jpg,333.09,Acessórios de Ferramentas Elétricas
"Dremel Escova Aço Carbono Copo 1/2""",https://m.media-amazon.com/images/I/31tUQeZ2wiL._AC_UY218_.jpg,103.25,Acessórios de Ferramentas Elétricas
"JOYID Rebarbadora elétrica portátil multifuncional 19500rpm para corte, polimento, telha cerâmica, madeira, pedra, aço",https://m.media-amazon.com/images/I/811FSVtmBxL._AC_UY218_.jpg,249.93,Acessórios de Ferramentas Elétricas
